Program,Home Program,Program Name,PD Gender,Region,Total Spots
University of Pennsylvania Health System Program,18.181818181818183,University of Pennsylvania Health System Program,M,Middle Atlantic,7
University of Florida Program,16.666666666666664,University of Florida Program,M,South Atlantic,4
Tulane University Program,16.666666666666664,Tulane University Program,F,West South Central,4
University of Washington Program,15.384615384615385,University of Washington Program,M,Pacific,5
University of California Davis Health Program,13.333333333333334,University of California Davis Health Program,F,Pacific,5
Loma Linda University Health Education Consortium Program,11.11111111111111,Loma Linda University Health Education Consortium Program,F,Pacific,3
New York Medical College (Metropolitan) Program,11.11111111111111,New York Medical College (Metropolitan) Program,F,Middle Atlantic,2
Loyola University Medical Center Program,10,Loyola University Medical Center Program,F,East North Central,4
Tufts Medical Center Program,8.333333333333332,Tufts Medical Center Program,F,New England,4
Boston University Medical Center Program,6.666666666666667,Boston University Medical Center Program,F,New England,5
University of Kansas School of Medicine Program,6.666666666666667,University of Kansas School of Medicine Program,F,West North Central,5
Zucker School of Medicine at Hofstra/Northwell Program,6.666666666666667,,M,Middle Atlantic,5
University of Utah Health Program,0,University of Utah Health Program,M,Mountain,4
University of Vermont Medical Center Program,0,University of Vermont Medical Center Program,M,New England,2
Hackensack University Medical Center (Palisades) Program,0,Hackensack University Medical Center (Palisades) Program,F,Middle Atlantic,3
Howard University Program,0,Howard University Program,F,South Atlantic,3
University of Wisconsin Hospitals and Clinics Program,0,University of Wisconsin Hospitals and Clinics Program,M,East North Central,5
University of Tennessee Program,0,University of Tennessee Program,F,East South Central,4
Kaiser Permanente Southern California (Los Angeles) Program,0,Kaiser Permanente Southern California (Los Angeles) Program,M,Pacific,2
University of Puerto Rico Program,0,University of Puerto Rico Program,M,South Atlantic,3
University of New Mexico School of Medicine Program,0,University of New Mexico School of Medicine Program,F,Mountain,3
University of Nebraska Medical Center College of Medicine Program,0,University of Nebraska Medical Center College of Medicine Program,F,West North Central,3
West Virginia University Program,0,,M,South Atlantic,2
Carilion Clinic-Virginia Tech Carilion School of Medicine Program,0,Carilion Clinic-Virginia Tech Carilion School of Medicine Program,F,South Atlantic,2
